1. 1.	Mečislav, Mečislava
2. 1.	Karina, Vasil, Ábel
3. 1.	Jenifer, Radmila, Radomila, Radomil, Jenovéfa
4. 1.	Dajana, Deana, Diana, Blahomila, Blahomíra
5. 1.	Amáta, Dalimila, Dalimil, Dalimír, Dalimíra, Teofan, Dylan
6. 1.	Baltazar, Kašpar, Melichar
7. 1.	Atila, Vilma, Viléma, Vilemína
Kravina
8. 1.	Erhart, Čestmíra, Čestmír
9. 1.	Valtr, Vladana, Vladan, Vlaďka, Vojslava
10. 1.	Břetislava, Břetislav, Bratislav
11. 1.	Bohdana, Malvína, Teodora
12. 1.	Pravoslava, Pravoslav, Arkád, Gvendolína
13. 1.	Edita, Gudrun, Leontýna
14. 1.	Radovana, Radovan, Hilar, Hilarius
15. 1.	Alice, Severín
16. 1.	Ctirad, Ctislava, Čtislav, Česlav, Ctirada, Ranek, Ranko
17. 1.	Drahoslav, Drahoš, Drahoň
18. 1.	Priska, Vladislava, Vladislav, Priscila
19. 1.	Doubravka, Sarah, Fabián
20. 1.	Fabian, Ilona, Sebastian, Fabiána, Sebestian, Šebastián, Sebastián
21. 1.	Bianka, Gejza, Géza, Albena, Běla
22. 1.	Dorian, Slavomíra, Slavomír, Slávek, Chrudoš, Mnata, Mnislav
23. 1.	Raimund, Ramon, Zdenek, Bertram, Zdeněk
24. 1.	Amanda, Milena, Timotej, Tim, Timoteus
25. 1.	Miloš, Miloň, Amand
26. 1.	Aurora, Danica, Zoran, Zora, Žarko
27. 1.	Ingeborg, Ingrid, Inka, Inna, Ingeborga, Přibyslava
28. 1.	Manfred, Otylie, Otýlie, Manfréd
29. 1.	Zdislava, Zdislav, Zinaida
30. 1.	Ema, Jasněna, Robin
31. 1.	Marieta, Marika
1. 2.	Hynek, Jasmína
2. 2.	Aida, Nela
3. 2.	Blažej, Donald
4. 2.	Jarmila, Gilberta, Gilbert
5. 2.	Agaton, Dobromila, Dobromil
6. 2.	Samanta, Vanda, Vlk, Vok
7. 2.	Berenika, Veronika, Veronika
8. 2.	Aranka, Milada, Mlada
9. 2.	Apolena, Ronald
10. 2.	Mojmíra, Mojmír, Sotira
11. 2.	Božena, Dezider, Eufrozina
12. 2.	Slavěna, Solveig, Zoroslav, Slávka, Glorie
13. 2.	Jordan, Věnceslava, Věnceslav, Věnka
14. 2.	Valentýna, Valentýn, Valentýna
15. 2.	Jiřina, Faust, Faustina, Faustýna, Jorga, Jorika
16. 2.	Danuta, Ljuba, Luba
17. 2.	Miloslava, Fiona, Grácie
18. 2.	Gizela
19. 2.	Patrik
20. 2.	Oldřich, Dorián
21. 2.	Eleonora, Lena, Lenka
22. 2.	Etela, Petr
23. 2.	Svatobor, Svatopluk
24. 2.	Matej, Matyas, Matěj, Matyáš
25. 2.	Liliana, Taras, Valburga, Nevena
26. 2.	Božetěch, Dora, Doris, Dorota
27. 2.	Alexandr, Drahotín, Leander, Leandr, Torsten
28. 2.	Kira, Lumír
1. 3.	Alban, Albín, Alva, Bedřich, Bedřiška, Elvis, Dětřich
2. 3.	Aněžka, Ines, Inesa, Inéz
3. 3.	Kamil, Vladivoj
4. 3.	Jadranka, Stela, Jadrana
5. 3.	Kazimíra, Kazimír, Oliva, Kazi, Teofila, Theofil
6. 3.	Fridolín, Mirek, Mirko, Miroslav, Miromil
7. 3.	Tomas, Tomislav, Tom, Tomáš
8. 3.	Gabriela, Mervin, Merlin, Zoltán
9. 3.	Františka, Radúz, Rebeka
10. 3.	Melisa, Melita, Viktorie, Ildika
11. 3.	Anděla, Andělín, Angela, Angelika, Anděl
12. 3.	Řehoř
13. 3.	Rosana, Rosa, Roza, Rozina, Ružena, Rozana, Rozita, Róza, Růžena
14. 3.	Matylda, Ruth, Maud, Rút
15. 3.	Hilda, Ida, Longin
16. 3.	Amos, Elena, Elen, Herbert, Heribert
17. 3.	Vlastimila, Vlastimil
18. 3.	Eduarda, Eduard, Edvarda
19. 3.	Josefa, Josef, Jozefa, Jozef, Josefína, Jozefína, Sibyla
